EcoTypeID,VegID,ShrubSpecFrac
3125,GFShrub,1
3126,GFShrub,1
3127,GFShrub,1
3128,GFShrub,1
3129,GFShrub,1
3130,GFShrub,1
3131,GFShrub,1
3132,GFShrub,1
3133,GFShrub,1
3134,GFShrub,1
3135,GFShrub,1
3136,GFShrub,1
3137,GFShrub,1
3138,GFShrub,1
3139,GFShrub,1
3140,GFShrub,1
3141,GFShrub,1
3142,GFShrub,1
3143,GFShrub,1
3144,GFShrub,1
3145,GFShrub,1
3146,GFShrub,1
3147,GFShrub,1
3148,GFShrub,1
3149,GFShrub,1
3150,GFShrub,1
3151,GFShrub,1
3152,GFShrub,1
3153,GFShrub,1
3154,GFShrub,1
3155,GFShrub,1
3156,GFShrub,1
3157,GFShrub,1
3158,GFShrub,1
3159,GFShrub,1
3160,GFShrub,1
3161,GFShrub,1
3162,GFShrub,1
3163,GFShrub,1
3164,GFShrub,1
3165,GFShrub,1
3166,GFShrub,1
3167,GFShrub,1
3168,GFShrub,1
3169,GFShrub,1
3170,GFShrub,1
3171,GFShrub,1
3172,GFShrub,1
3173,GFShrub,1
3174,GFShrub,1
3177,GFShrub,1
3178,GFShrub,1
3179,GFShrub,1
3180,GFShrub,1
3181,GFShrub,1
3182,GFShrub,1
3183,GFShrub,1
3184,GFShrub,1
3185,GFShrub,1
3186,GFShrub,1
3187,GFShrub,1
3191,GFShrub,1
3192,GFShrub,1
3193,GFShrub,1
3194,GFShrub,1
3195,GFShrub,1
3196,GFShrub,1
3199,GFShrub,1
3200,GFShrub,1
3201,GFShrub,1
3202,GFShrub,1
3203,GFShrub,1
3204,GFShrub,1
3205,GFShrub,1
3206,GFShrub,1
3207,GFShrub,1
3208,GFShrub,1
3209,GFShrub,1
3210,GFShrub,1
3211,GFShrub,1
3212,GFShrub,1
3213,GFShrub,1
3214,GFShrub,1
3215,GFShrub,1
3216,GFShrub,1
3217,GFShrub,1
3218,GFShrub,1
3219,GFShrub,1
3220,GFShrub,1
3221,GFShrub,1
3222,GFShrub,1
3223,GFShrub,1
3224,GFShrub,1
3225,GFShrub,1
3226,GFShrub,1
3227,GFShrub,1
3228,GFShrub,1
3229,GFShrub,1
3230,GFShrub,1
3231,GFShrub,1
3232,GFShrub,1
3233,GFShrub,1
3234,GFShrub,1
3235,GFShrub,1
3236,GFShrub,1
3237,GFShrub,1
3238,GFShrub,1
3239,GFShrub,1
3240,GFShrub,1
3241,GFShrub,1
3242,GFShrub,1
3243,GFShrub,1
3244,GFShrub,1
3245,GFShrub,1
3247,GFShrub,1
3248,GFShrub,1
3249,GFShrub,1
3250,GFShrub,1
3251,GFShrub,1
3252,GFShrub,1
3253,GFShrub,1
3254,GFShrub,1
3255,GFShrub,1
3256,GFShrub,1
3257,GFShrub,1
3258,GFShrub,1
3259,GFShrub,1
3260,GFShrub,1
3261,GFShrub,1
3262,GFShrub,1
3263,GFShrub,1
3264,GFShrub,1
3265,GFShrub,1
3266,GFShrub,1
3267,GFShrub,1
3268,GFShrub,1
3269,GFShrub,1
3270,GFShrub,1
3271,GFShrub,1
3272,GFShrub,1
3273,GFShrub,1
3274,GFShrub,1
3275,GFShrub,1
3276,GFShrub,1
3277,GFShrub,1
3278,GFShrub,1
3279,GFShrub,1
3280,GFShrub,1
3281,GFShrub,1
3282,GFShrub,1
3283,GFShrub,1
3284,GFShrub,1
3285,GFShrub,1
3286,GFShrub,1
3287,GFShrub,1
3288,GFShrub,1
3289,GFShrub,1
3290,GFShrub,1
3291,GFShrub,1
3292,GFShrub,1
3293,GFShrub,1
3294,GFShrub,1
3295,GFShrub,1
3296,GFShrub,1
3297,GFShrub,1
3298,GFShrub,1
3299,GFShrub,1
3300,GFShrub,1
3301,GFShrub,1
3302,GFShrub,1
3303,GFShrub,1
3304,GFShrub,1
3305,GFShrub,1
3306,GFShrub,1
3307,GFShrub,1
3308,GFShrub,1
3309,GFShrub,1
3310,GFShrub,1
3311,GFShrub,1
3312,GFShrub,1
3313,GFShrub,1
3314,GFShrub,1
3315,GFShrub,1
3316,GFShrub,1
3317,GFShrub,1
3318,GFShrub,1
3319,GFShrub,1
3320,GFShrub,1
3321,GFShrub,1
3322,GFShrub,1
3323,GFShrub,1
3324,GFShrub,1
3325,GFShrub,1
3326,GFShrub,1
3327,GFShrub,1
3328,GFShrub,1
3329,GFShrub,1
3330,GFShrub,1
3331,GFShrub,1
3332,GFShrub,1
3333,GFShrub,1
3334,GFShrub,1
3335,GFShrub,1
3336,GFShrub,1
3337,GFShrub,1
3338,GFShrub,1
3339,GFShrub,1
3340,GFShrub,1
3342,GFShrub,1
3343,GFShrub,1
3344,GFShrub,1
3346,GFShrub,1
3347,GFShrub,1
3348,GFShrub,1
3349,GFShrub,1
3350,GFShrub,1
3351,GFShrub,1
3352,GFShrub,1
3353,GFShrub,1
3354,GFShrub,1
3355,GFShrub,1
3356,GFShrub,1
3357,GFShrub,1
3358,GFShrub,1
3359,GFShrub,1
3361,GFShrub,1
3362,GFShrub,1
3363,GFShrub,1
3364,GFShrub,1
3365,GFShrub,1
3366,GFShrub,1
3367,GFShrub,1
3368,GFShrub,1
3369,GFShrub,1
3370,GFShrub,1
3371,GFShrub,1
3372,GFShrub,1
3373,GFShrub,1
3374,GFShrub,1
3375,GFShrub,1
3376,GFShrub,1
3377,GFShrub,1
3378,GFShrub,1
3379,GFShrub,1
3380,GFShrub,1
3381,GFShrub,1
3382,GFShrub,1
3383,GFShrub,1
3384,GFShrub,1
3385,GFShrub,1
3386,GFShrub,1
3387,GFShrub,1
3389,GFShrub,1
3390,GFShrub,1
3391,GFShrub,1
3392,GFShrub,1
3393,GFShrub,1
3394,GFShrub,1
3395,GFShrub,1
3396,GFShrub,1
3397,GFShrub,1
3398,GFShrub,1
3399,GFShrub,1
3400,GFShrub,1
3401,GFShrub,1
3402,GFShrub,1
3403,GFShrub,1
3405,GFShrub,1
3406,GFShrub,1
3407,GFShrub,1
